metric_key,year,economic_category,GDP,GDP_15,GDP_PC,GDP_PC_PPP,GDP_PC_PPP_17,GDP_PEMP,GDP_PPP,MFG_VA,ELC_POP,ELC_RUR_POP,CO2GDP,AtmCO2
developed-2000,2000,Developed,815986746910.13,1036680153309.71,27748.42,21889.46,33294.94,76780.53,840739030276.82,16.03,100.0,100.0,0.2808333333333333,0.5359444444444444
developed-2001,2001,Developed,783365301443.54,1054066558258.87,28201.18,22883.42,33940.95,78184.48,878428573077.09,15.76,100.0,100.0,0.27894444444444444,0.4922777777777778
developed-2002,2002,Developed,815328251122.33,1066909940515.18,28634.53,23919.38,34549.04,79313.37,914441225816.37,15.37,100.0,100.0,0.27116666666666667,0.4646111111111111
developed-2003,2003,Developed,952362569447.61,1083325011196.12,29056.41,24698.18,35153.29,80366.24,942719286560.66,15.05,100.0,100.0,0.2708888888888889,0.44183333333333336
developed-2004,2004,Developed,1084243441067.23,1110886471386.86,29864.99,26101.88,36219.06,82640.68,991483372113.07,14.98,100.0,100.0,0.2593888888888889,0.41022222222222227
developed-2005,2005,Developed,1125847446708.51,1134273611618.22,30475.25,27379.78,37037.27,83685.15,1033503389984.02,14.66,100.0,100.0,0.25194444444444447,0.38055555555555554
developed-2006,2006,Developed,,,,,,,,,,,0.24083333333333334,0.3507777777777778
developed-2007,2007,Developed,,,,,,,,,,,0.23194444444444443,0.33655555555555555
developed-2008,2008,Developed,,,,,,,,,,,0.22288888888888891,0.3204444444444444
developed-2009,2009,Developed,,,,,,,,,,,0.21711111111111112,0.2946111111111111
developed-2010,2010,Developed,,,,,,,,,,,0.21933333333333332,0.2953888888888889
developed-2011,2011,Developed,,,,,,,,,,,0.21233333333333335,0.28733333333333333
developed-2012,2012,Developed,,,,,,,,,,,0.20577777777777778,0.2858333333333334
developed-2013,2013,Developed,1419505635957.87,1219181705046.15,31678.82,36544.68,38686.29,87862.73,1375546219239.64,13.07,100.0,100.0,0.19983333333333334,0.28099999999999997
developed-2014,2014,Developed,1424751788470.95,1238401573524.82,32052.8,37345.17,39201.61,88443.6,1411460630451.36,13.2,100.0,100.0,0.18933333333333335,0.2658888888888889
developed-2015,2015,Developed,1260089941253.68,1260089941253.68,32473.0,37749.25,39821.37,89204.08,1445558265580.85,13.38,100.0,100.0,0.18727777777777777,0.25027777777777777
developed-2016,2016,Developed,1283391843588.96,1281254828556.19,32863.84,39406.5,40409.39,89764.09,1511371870139.88,13.36,99.94705873377183,100.0,0.18394444444444444,0.249
developed-2017,2017,Developed,1332508311039.07,1311168170935.49,33517.9,41362.22,41362.22,90777.61,1578620189965.3,13.21,100.0,100.0,0.18122222222222223,0.24144444444444446
developed-2018,2018,Developed,1418019930412.49,1332747668475.51,34062.16,43374.06,42186.47,91527.41,1640252682747.09,13.01,100.0,100.0,0.17522222222222222,0.24066666666666667
developed-2019,2019,Developed,1404628244441.4,1351195381680.89,34505.35,44386.41,42891.32,92341.22,1682229152764.51,12.91,100.0,100.0,0.16666666666666666,0.22827777777777777
developing-2000,2000,Developing,164282009672.08,262898765114.53,6575.91,10500.18,12923.22,32325.41,455139453066.86,17.07,71.73964088841488,57.57494931471975,0.24942105263157893,0.718
developing-2001,2001,Developing,156548013535.01,265828380650.66,6542.35,10717.1,12863.91,32151.46,474569180406.53,17.46,72.0531994669061,58.57186726519937,0.2541578947368421,0.6920499999999999
developing-2002,2002,Developing,152341163362.94,271702646201.46,6610.41,11032.48,13002.03,32531.6,494459609405.48,17.61,74.1388009723864,61.92177094911274,0.25057894736842107,0.6645
developing-2003,2003,Developing,171114864871.0,282960319378.81,6607.47,11213.68,13055.66,32456.62,527000051803.51,17.54,74.90023301777087,62.53920976739181,0.2491578947368421,0.6515500000000001
developing-2004,2004,Developing,199545265182.12,300987706797.47,7020.01,12249.93,13839.22,33951.97,577016405501.81,16.92,76.06027362221167,64.88217685097142,0.24726315789473685,0.64515
developing-2005,2005,Developing,235510948952.58,316996702294.81,6946.5,12455.81,13813.69,33947.46,628660297782.38,16.41,76.53324327970807,64.96834564208986,0.24352631578947367,0.64825
developing-2006,2006,Developing,,,,,,,,,,,0.2333157894736842,0.62015
developing-2007,2007,Developing,,,,,,,,,,,0.22978947368421052,0.6301
developing-2008,2008,Developing,,,,,,,,,,,0.22857894736842105,0.5500499999999999
developing-2009,2009,Developing,,,,,,,,,,,0.22557894736842102,0.5439999999999999
developing-2010,2010,Developing,,,,,,,,,,,0.225,0.5511
developing-2011,2011,Developing,,,,,,,,,,,0.22436842105263158,0.5398
developing-2012,2012,Developing,,,,,,,,,,,0.22600000000000003,0.5469999999999999
