metric_key,economic_category,cou_metric_key,year,GDP,GDP_15,GDP_PC,GDP_PC_PPP,GDP_PC_PPP_17,GDP_PEMP,GDP_PPP,MFG_VA,ELC_POP,ELC_RUR_POP,CO2GDP,AtmCO2
developing-2000,Developing,argentina-2000,2000,284203750000.0,395646066535.875,10730.6082172968,11618.7932334926,18625.2835537811,49153.4174105124,428394155078.285,16.4942719439838,95.7832870483398,90.1027221679688,0.186,0.286
developing-2001,Developing,argentina-2001,2001,268696750000.0,378202665751.853,10146.1068184859,11226.8797464943,17610.7553863202,48106.8767316569,418489172661.132,16.0932258763829,95.5110626220703,86.0806427001953,0.185,0.304
developing-2002,Developing,argentina-2002,2002,97724004251.8602,336999433710.193,8943.30800223846,10052.4882560869,15523.0387763102,44530.0363457109,378795278976.384,20.347773913878,96.2288665771484,91.3668823242188,0.195,0.331
developing-2003,Developing,argentina-2003,2003,127586973492.177,366780211148.674,9629.84408600561,11025.1860988296,16714.6701331846,44773.408883798,419925810757.286,22.4867505875749,96.4426345825195,91.8974227905273,0.195,0.317
developing-2004,Developing,argentina-2004,2004,164657930452.787,399898899166.738,10389.1512740641,12214.7407113551,18032.6114274365,46454.7924151121,470169433019.259,18.9370136214371,96.6535034179688,92.3015747070313,0.198,0.298
developing-2005,Developing,argentina-2005,2005,198737095012.282,435296589745.339,11192.1795786128,13568.7692061284,19426.4401434847,49079.6074657476,527729109507.491,18.340415936715,96.8638458251953,92.5335083007813,0.188,0.284
developing-2013,Developing,argentina-2013,2013,552025140252.246,593858966307.156,14071.5086831557,20131.6804246983,24424.1364465071,58863.0101420029,849616000404.317,15.0110542553443,99.3426742553711,94.6871871948242,0.172,0.221
developing-2014,Developing,argentina-2014,2014,526319673731.638,578937574935.696,13567.9484159809,19683.7715056442,23550.0990599374,57248.8911709221,839896688260.086,14.7727785491821,100.0,100.0,0.173,0.237
developing-2015,Developing,argentina-2015,2015,594749285413.212,594749285413.212,13789.060424772,20105.1989918165,23933.8866120953,58423.3066934368,867176759338.262,14.1815854549835,99.6253890991211,97.0914993286133,0.174,0.237
developing-2016,Developing,argentina-2016,2016,557531376217.967,582376550428.09,13360.2118345982,20307.870052142,23189.5274451329,57072.557705729,885227528869.049,13.4880259708051,99.8495788574219,98.8367691040039,0.176,0.226
developing-2017,Developing,argentina-2017,2017,643628665302.155,598790850843.677,13595.0373551081,23597.117752839,23597.117752839,58316.7318122318,1039330591568.54,12.8351683415363,100.0,100.0,0.167,0.215
developing-2018,Developing,argentina-2018,2018,524819742918.669,583118120294.002,13105.397163317,23293.3986337639,22747.2416575831,55878.9120013766,1036428172096.8,14.0601434041581,99.9895782470703,99.8718109130859,0.169,0.246
developing-2019,Developing,argentina-2019,2019,451932356085.842,571304530654.919,12712.9707379001,22999.2750525577,22066.1010083881,53836.0305044584,1033557797795.68,14.469857210653,100.0,100.0,0.164,0.259
developed-2000,Developed,australia-2000,2000,415576210513.094,872586798723.367,45558.753131278,26343.0767025713,38217.4494444102,81630.1260027345,504548948084.348,11.5701155470122,100.0,100.0,0.456,0.535
developed-2001,Developed,australia-2001,2001,379083932596.329,890372741826.771,45864.7680331103,27439.8277870076,38474.1533319445,82140.4568588704,532689376829.179,10.9930137248101,100.0,100.0,0.456,0.511
developed-2002,Developed,australia-2002,2002,395342716617.832,926116992865.178,47127.2781005515,28768.7286317056,39533.2234635712,83755.8704036123,565345793833.1,10.5553489443195,100.0,100.0,0.448,0.39
developed-2003,Developed,australia-2003,2003,467390797903.32,954922242233.238,47997.1371388983,29807.4095606,40262.9140616873,84366.7957606416,593030336171.961,10.8621699418076,100.0,100.0,0.434,0.477
developed-2004,Developed,australia-2004,2004,614166310997.297,995080989941.195,49439.1222880846,31407.4614546007,41472.5387935104,86353.2584533897,632150539681.331,10.8821570660011,100.0,100.0,0.433,0.496
developed-2005,Developed,australia-2005,2005,695075176665.163,1026528915832.15,50332.8748422221,32653.4016208815,42222.2727240053,86093.9348312358,665959595377.554,10.3348623009791,100.0,100.0,0.425,0.479
developed-2013,Developed,australia-2013,2013,1576335282651.07,1288790662985.54,55723.9482270935,45906.4400399472,46744.6325424082,94105.6315615791,1061730067174.66,6.60833321401096,100.0,100.0,0.347,0.398
developed-2014,Developed,australia-2014,2014,1467504819608.92,1321821485124.76,56305.9790936359,46880.8951800484,47232.875386831,95823.7427238993,1100561174645.73,6.36863463394708,100.0,100.0,0.33,0.401
