Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Reporting Type,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),2,Africa,2000,0.232,2000,,,,2017,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,E,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),2,Africa,2001,0.243,2001,,,,2017,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,E,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),2,Africa,2002,0.24,2002,,,,2017,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,E,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),2,Africa,2003,0.24,2003,,,,2017,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,E,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),2,Africa,2004,0.241,2004,,,,2017,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,E,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),2,Africa,2005,0.237,2005,,,,2017,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,E,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),2,Africa,2006,0.229,2006,,,,2017,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,E,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),2,Africa,2007,0.224,2007,,,,2017,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,E,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),2,Africa,2008,0.225,2008,,,,2017,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,E,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),2,Africa,2009,0.216,2009,,,,2017,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,E,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
