Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Activity,Observation Status,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),2,Africa,ISIC4_C,A,G,KG_PER_CON_USD,0.69,0.674,0.655,0.685,0.695,0.752,0.715,0.68,0.645,0.714,0.665,0.624,0.577,0.582,0.567,0.531,0.525,0.533,0.543,0.542,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),8,Albania,ISIC4_C,A,G,KG_PER_CON_USD,1.643,1.736,1.455,1.345,1.315,0.975,1.372,1.091,0.946,1.508,1.868,1.652,1.174,0.992,1.446,1.048,0.855,1.402,1.505,1.047,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),12,Algeria,ISIC4_C,A,G,KG_PER_CON_USD,0.858,0.854,0.872,0.964,1.065,0.983,0.996,1.102,1.034,1.186,1.113,1.112,1.08,1.019,1.303,1.306,1.273,1.377,1.403,1.5,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),19,Americas,ISIC4_C,A,G,KG_PER_CON_USD,0.345,0.341,0.314,0.297,0.293,0.273,0.261,0.248,0.249,0.24,0.27,0.254,0.251,0.244,0.239,0.233,0.231,0.226,0.22,0.21,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),24,Angola,ISIC4_C,A,G,KG_PER_CON_USD,0.766,0.706,0.731,0.709,0.707,0.535,0.396,0.433,0.37,0.362,0.351,0.329,0.274,0.154,0.143,0.247,0.253,0.132,0.131,0.17,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),32,Argentina,ISIC4_C,A,G,KG_PER_CON_USD,0.286,0.304,0.331,0.317,0.298,0.284,0.281,0.249,0.236,0.216,0.211,0.213,0.204,0.221,0.237,0.237,0.226,0.215,0.246,0.259,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),51,Armenia,ISIC4_C,A,G,KG_PER_CON_USD,1.9,2.048,1.747,1.86,1.655,1.884,2.001,1.604,1.827,1.408,0.671,0.691,0.74,0.678,0.448,0.395,0.306,0.316,0.323,0.25,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),142,Asia,ISIC4_C,A,G,KG_PER_CON_USD,0.803,0.817,0.802,0.806,0.875,0.966,0.949,0.931,0.922,0.96,0.941,0.932,0.879,0.84,0.794,0.744,0.683,0.638,0.618,0.615,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),36,Australia,ISIC4_C,A,G,KG_PER_CON_USD,0.535,0.511,0.39,0.477,0.496,0.479,0.459,0.446,0.485,0.434,0.385,0.397,0.411,0.398,0.401,0.373,0.375,0.363,0.393,0.391,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),53,Australia and New Zealand,ISIC4_C,A,G,KG_PER_CON_USD,0.489,0.473,0.373,0.436,0.444,0.421,0.409,0.403,0.44,0.399,0.361,0.368,0.38,0.377,0.385,0.358,0.358,0.345,0.365,0.371,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),40,Austria,ISIC4_C,A,G,KG_PER_CON_USD,0.207,0.197,0.196,0.203,0.203,0.183,0.173,0.157,0.159,0.178,0.174,0.164,0.157,0.152,0.146,0.147,0.146,0.138,0.129,0.129,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),31,Azerbaijan,ISIC4_C,A,G,KG_PER_CON_USD,2.302,1.782,2.134,1.217,0.909,0.584,0.517,0.948,1.029,0.75,0.577,0.626,0.772,0.765,0.784,0.77,0.936,0.568,0.362,0.624,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),48,Bahrain,ISIC4_C,A,G,KG_PER_CON_USD,0.036,0.054,0.053,0.046,0.048,0.052,0.053,0.054,0.058,0.069,0.162,0.171,0.219,0.349,0.426,0.387,0.373,0.342,0.37,0.369,,,,,,,,,,,,,,,,,,,,,
