Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Activity,Nature,Observation Status,Reporting Type,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),2,Africa,2000,0.69,2000,,,,2015,"UNIDO MVA 2022 Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,ISIC4_C,E,A,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),2,Africa,2001,0.674,2001,,,,2015,"UNIDO MVA 2022 Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,ISIC4_C,E,A,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),2,Africa,2002,0.655,2002,,,,2015,"UNIDO MVA 2022 Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,ISIC4_C,E,A,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),2,Africa,2003,0.685,2003,,,,2015,"UNIDO MVA 2022 Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,ISIC4_C,E,A,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),2,Africa,2004,0.695,2004,,,,2015,"UNIDO MVA 2022 Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,ISIC4_C,E,A,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),2,Africa,2005,0.752,2005,,,,2015,"UNIDO MVA 2022 Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,ISIC4_C,E,A,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),2,Africa,2006,0.715,2006,,,,2015,"UNIDO MVA 2022 Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,ISIC4_C,E,A,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),2,Africa,2007,0.68,2007,,,,2015,"UNIDO MVA 2022 Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,ISIC4_C,E,A,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),2,Africa,2008,0.645,2008,,,,2015,"UNIDO MVA 2022 Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,ISIC4_C,E,A,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),2,Africa,2009,0.714,2009,,,,2015,"UNIDO MVA 2022 Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,ISIC4_C,E,A,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),2,Africa,2010,0.665,2010,,,,2015,"UNIDO MVA 2022 Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,ISIC4_C,E,A,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
