Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1.61359095573425,4.07457399368286,9.40915775299072,14.7385063171387,20.0649681091309,25.3908939361572,68.2906494140625,89.5,71.5,97.6999969482422,97.6999969482422,96.6161346435547,97.6999969482422,97.6999969482422,..
Afghanistan,AFG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,..,3.24060392379761,11.1138515472412,60.5661354064941,86.5005111694336,64.573356628418,97.0993576049805,97.0919723510742,95.5861740112305,97.0756301879883,97.0667114257813,..
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,99.9499969482422,99.9800033569336,99.8899993896484,99.8899993896484,100,100,100,..
Albania,ALB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.9730987548828,98.9668731689453,98.9530563354492,98.9340133666992,98.9120788574219,98.8896102905273,99.0022048950195,99.0870132446289,99.1866607666016,99.3502502441406,99.6354904174805,99.6978378295898,99.5,99.8041305541992,..
Algeria,DZA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.2681579589844,98.2879333496094,98.2926254272461,98.2761993408203,98.2314224243164,98.1499786376953,97.288932800293,97.4306106567383,97.6523742675781,98.1268463134766,99.0720062255859,99.0713043212891,98.6810531616211,99.5799026489258,..
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Andorra,AND,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,24.2127437591553,20,26.3521175384521,27.4127769470215,28.4705505371094,29.5277862548828,38.2780303955078,32,42,41.8131294250488,43.0132598876953,45.2900009155273,45.6427993774414,46.8906097412109,..
Angola,AGO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,3.53605127334595,9.47707653045654,2.92127513885498,2.46178197860718,1.88592076301575,1.18811726570129,..,..,3.81506657600403,..,..,7.33344507217407,..,..,..
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.6892623901367,97.7852554321289,100,97.9568252563477,98.0371017456055,92.1999969482422,100,100,100,100,100,100,100,100,..
Antigua and Barbuda,ATG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,96.5954818725586,96.7563934326172,100,97.0798568725586,97.2354965209961,100,100,100,100,100,100,100,100,100,..
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.7832870483398,95.5110626220703,96.2288665771484,96.4426345825195,96.6535034179688,96.8638458251953,99.3426742553711,100,99.6253890991211,99.8495788574219,100,99.9895782470703,100,100,..
Argentina,ARG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,90.1027221679688,86.0806427001953,91.3668823242188,91.8974227905273,92.3015747070313,92.5335083007813,94.6871871948242,100,97.0914993286133,98.8367691040039,100,99.8718109130859,100,100,..
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.9000015258789,100,98,99.1901321411133,99.1892318725586,99.8000030517578,99.4199981689453,99.7099990844727,100,99.8000030517578,99.6999969482422,99.9000015258789,100,100,..
Armenia,ARM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.5339736938477,100,95.6984786987305,99.0720138549805,99.0925445556641,99.6227035522461,99.4371490478516,99.7955474853516,100,99.8000030517578,99.5289764404297,99.9000015258789,100,100,..
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.660400390625,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Aruba,ABW,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Australia,AUS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Austria,AUT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.9082260131836,98.6218032836914,100,98.9274673461914,99.0747985839844,99.2215957641602,100,100,100,100,100,100,100,100,..
Azerbaijan,AZE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.0660858154297,97.6159362792969,100,98.2487564086914,98.5409240722656,98.8129119873047,100,100,100,100,100,100,100,100,..
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
"Bahamas, The",BHS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Bahrain,BHR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,32,35.0326461791992,37.8510704040527,40.6642608642578,40.5999984741211,44.2299995422363,61.5,62.4000015258789,74.9037399291992,75.9199981689453,88,91.8000030517578,92.1999969482422,96.1999969482422,..
Bangladesh,BGD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,16.8105220794678,21.5169792175293,24.4272594451904,27.352518081665,27.8762912750244,30.1718578338623,48.5877647399902,48.1212005615234,65.2221298217773,66.1436462402344,81.5710296630859,89.0830078125,88.8535995483398,95.2119674682617,..
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,99.9967422485352,99.9804534912109,100,100,100,100,100,100,100,100,..
Barbados,BRB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Belarus,BLR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Belgium,BEL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,79,80.1969604492188,81.0294189453125,81.8566360473633,82.6809768676758,83.5047760009766,91.1861038208008,91.3642578125,91.8000030517578,93.2223129272461,94.1890106201172,91.7200012207031,92.7200012207031,97.1133346557617,..
Belize,BLZ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,65.6969985961914,67.3875198364258,68.8550338745117,70.3073425292969,71.743278503418,73.1613006591797,86.0654373168945,86.2510681152344,87.5583190917969,89.3888473510742,91.0207214355469,86.5137710571289,87.8397598266602,96.074462890625,..
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,21.5310840606689,21.8999996185303,23.4159278869629,24.3493232727051,25.2798328399658,26.2098045349121,34.691219329834,34.0999984741211,29.6200008392334,37.0952453613281,34.5,39.2469177246094,40.3286895751953,41.4109573364258,..
