Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,7228792185.8025,7867259194.15068,7978511520.99477,8874475611.97397,18360253681.3442,18860486754.6234,19134211763.859,19566705069.6652,20084636379.3769,20323488524.6834,21118462796.7609,20621946475.7248,..
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,..,..,4055179566.34981,4515558808.10994,5226778808.89209,6209137624.77181,20146404996.223,20497126770.1335,19134211763.859,18116562464.9088,18753469630.2586,18053228578.8878,18799450742.7823,20116137325.8206,..
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,319.847107262897,332.22000973489,322.668009493498,345.925813841934,568.964543504121,565.179273313985,556.007220861443,552.996907717033,553.355051712755,546.743010078504,555.138996255113,529.741210284938,..
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,877.01426830392,927.857548047018,925.441429176842,1023.05174932878,2015.51477466948,2069.42402167356,2087.30532306683,1981.11806850696,2058.4002210698,2082.63564821362,2152.3664894209,2078.64861450906,..
Afghanistan,AFG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,1189.78466765718,1235.81006329565,1200.27801321734,1286.79365893927,2116.46525771251,2102.38460375974,2068.26590413364,2057.06797755329,2058.4002210698,2033.80438893717,2065.03623501599,1970.56016925338,..
Afghanistan,AFG,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,..,..,5572.18480020993,5742.1537181977,5529.23236143351,5900.21413865045,9451.82116887206,9241.04761834741,8950.39449742221,8795.23407996816,8698.01716930822,8490.08570209311,8522.60600598112,9226.54710018847,..
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,19821201272.7123,21972474901.6777,22883102406.9713,26245649893.4599,65039839448.5561,69058343420.1602,71831696727.8086,70097956089.2877,74711922906.3738,77415569869.8162,81879802965.493,80918342084.7864,..
Afghanistan,AFG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,..,..,18.8227521829407,16.9238662341696,17.5540062570161,16.5982122192596,11.4998672561905,11.477587555803,11.4200060049012,4.1141966128347,3.53042246146676,6.16017721650239,7.04318108092508,7.67625685837314,..
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,6057217275.17097,6559561240.86077,6857137321.17618,7236243584.07859,7635298386.90052,8057257367.83525,10945469119.3118,11139690870.7706,11386850129.8411,11764322012.1672,12211628287.1601,12702457551.515,12970913827.5704,12457862570.9615,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3480355258.04122,3922100793.5403,4348068242.19512,5611496257.14231,7184685781.51876,8052073539.38058,12776220507.0162,13228147516.1168,11386850129.8411,11861199830.8396,13019689336.6919,15156432309.8977,15400242874.8812,14887629268.2927,..
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1960.88194605323,2143.52627804401,2247.49749138029,2380.64399716233,2522.44871366768,2675.50793605792,3780.69820209921,3855.7597340804,3952.80253807527,4090.37165668632,4249.80373367692,4431.53918101288,4544.51500532738,4389.89621046134,..
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3860.80462705845,4299.54649293767,4661.40269532788,5000.04936305629,5427.73266241123,5865.30190379844,10570.963733047,11259.2675137673,11658.9055171112,12078.8431361843,12770.9642910053,13498.1165268196,13998.0256546027,13412.0972804773,..
Albania,ALB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,5892.5905480007,6441.44983374249,6753.89076890572,7154.00554534585,7580.1388645001,8040.09277909266,11361.2686043509,11586.833878569,11878.4544479371,12291.8594923641,12770.9642910053,13317.0923133291,13656.5927487572,13191.9522072882,..
Albania,ALB,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,17246.0110082665,18767.3167412207,19417.5982507162,20481.1874612984,21675.7212333696,23070.3525187696,32144.6511412273,32764.7371337916,31777.7078455795,31069.9477763551,31065.0100091672,31103.7725275504,30965.9092899403,31821.7829552618,..
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,11926129734.7085,13157356089.9326,14221986237.4723,15198230044.7357,16429415677.4264,17663280434.3643,30603912535.8345,32529194811.0951,33585844099.8588,34739972822.8228,36696816738.7391,38690677257.6789,39953038841.1362,38061506855.3053,..
Albania,ALB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,4.31784580575779,4.09904001959361,4.06654283252579,4.12416007365678,4.17755701844762,4.42584401421105,5.05980135594677,5.32578898520395,5.67151941669391,5.68442741798015,6.15814709362878,6.13326197157627,6.2608727520779,6.18967463277529,..
Algeria,DZA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,96577871097.6118,99475207230.5398,105045818835.45,112609117791.603,117451309856.641,124380937138.183,154197653360.511,160057164188.21,165979279263.174,171290616199.596,173517394210.19,175426085546.502,177180346401.967,168144148735.467,..
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,54790392746.1939,54744712814.8676,56760355865.0082,67863828412.6882,85332581188.6107,103198223709.439,209755003250.664,213810024944.464,165979279263.174,160034163871.455,170097014589.134,174910878623.049,171767403748.19,145009181490.62,..
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3111.17616898665,3162.81150705023,3297.61281111413,3490.22324715182,3592.64530104949,3752.09616063674,4042.92363832773,4112.07602394229,4177.8895415169,4224.03726252781,4192.33769222334,4154.21903821165,4115.39553969777,3834.43898325217,..
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8446.58774102862,8775.11790745312,9293.83714349081,10019.3578919395,10591.0381897757,11405.6425223873,13056.8025915699,13003.2668603131,12015.6405282427,11624.3407751545,11737.4012353821,11909.9298247204,12009.248207942,11324.2358133821,..
Algeria,DZA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,8710.44407445834,8855.00892711824,9232.41578434391,9771.67243203474,10058.4262267443,10504.845111314,11319.0826671926,11512.6904716992,11696.9503570415,11826.1513798046,11737.4012353821,11630.6794086748,11521.9842097494,10735.3825390799,..
Algeria,DZA,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,43101.675110332,41822.6379152273,42342.5434664567,43148.8259505833,40830.9452354118,41199.2024151481,40307.0332107303,43434.8859593349,44302.5044415844,44384.5693035783,44464.7157747839,44464.5065175544,44345.18648326,44479.1084692922,..
Algeria,DZA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,262200986944.893,275990734942.795,296056204527.986,323266156103.441,346243840928.989,378093856037.232,497988213510.825,506135102251.566,477357607218.836,471383269260.918,485801342039.043,502937459259.169,517034811595.932,496579551594.759,..
Algeria,DZA,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,44.9803977869361,40.2337955006171,38.7737346092762,41.0650453390035,42.8451109321875,48.79732620434,33.5488958109419,30.9360343772604,23.1730973704646,21.6846825526196,23.9189229852487,26.5499528183555,23.8619148338588,18.8249165025729,..
American Samoa,ASM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,744923664.122138,752116030.534351,755198473.282443,752116030.534351,641148091.603054,652450381.679389,673000000,661697709.923664,615461068.70229,631900763.358779,628818320.610687,653477862.59542,..
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,..,..,512000000,524000000,509000000,500000000,638000000,643000000,673000000,671000000,612000000,639000000,648000000,709000000,..
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,12609.3685211188,12641.6678802311,12653.2818390598,12628.5076571075,11507.2256511128,11694.5453868794,12059.6351646776,11871.3595493939,11066.0601740887,11393.6056572867,11368.5695800312,11839.0105004877,..
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,..,..,21.2890625,20.6106870229008,15.5206286836935,13.6,14.576802507837,11.9751166407465,13.9673105497771,13.7108792846498,10.9477124183007,13.9280125195618,12.1913580246914,..,..
Andorra,AND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2240757202.45755,2422692295.39982,2532836662.47081,2753046641.70271,2977025605.91611,3137719374.5448,2683224788.58295,2750425228.26783,2789870187.50693,2893365390.02848,2903378514.30766,2949506390.20052,3008955096.59511,2649303923.74954,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1429049198.45218,1546926174.49664,1755910031.99699,2361726862.30248,2894921777.99851,3159905484.39249,3193704343.20627,3271808157.30038,2789870187.50693,2896679211.86628,3000180750.11297,3218316013.22626,3155065487.51819,..,..
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,34267.582236696,35974.8796537156,36158.5864331717,37620.2055439015,39042.9587661129,39782.9287639918,33220.5619485322,34721.891965559,35770.7767044085,37432.7626628952,37707.6836020581,38301.2984391299,39003.3844476073,34288.5384553102,..
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
